"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Fusarium cf.eumartii","conidia",4,14,2.5,5,"Ascomycota",3.75,9,66.2679700366597,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium chlamydosporum","macroconidia",30,38,3,4.5,"Ascomycota",3.75,34,250.345664582937,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium chlamydosporum","conidia",8.5,10,2.5,3,"Ascomycota",2.75,9.25,36.6273705992747,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium culmorum","conidia",30,50,5,7.5,"Ascomycota",6.25,40,818.123086872342,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium dimerum","conidia",15,25,2.5,4,"Ascomycota",3.25,20,110.610241345141,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium equiseti","conidia",31,47,4,5,"Ascomycota",4.5,39,413.512133028757,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium flocciferum","conidia",22,35,3.5,5,"Ascomycota",4.25,28.5,269.538832200962,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium fujikuroi","macroconidia",33,60,3,4,"Ascomycota",3.5,46.5,298.254952550181,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium fujikuroi","microconidia",8,10,2.5,3.3,"Ascomycota",2.9,9,39.6311913250352,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium graminearum","conidia",41,60,4,5.5,"Ascomycota",4.75,50.5,596.591717409049,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium incarnatum","conidia",17,40,3,4.5,"Ascomycota",3.75,28.5,209.848571782756,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium lateritium","conidia",22,50,3,4.5,"Ascomycota",3.75,36,265.071880146639,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium merismoides var. merismoides","conidia",30,45,3.5,5,"Ascomycota",4.25,37.5,354.65635815916,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium oxysporum","macroconidia",27,46,3,4.5,"Ascomycota",3.75,36.5,268.753434037564,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium oxysporum","conidia",5,12,2.3,3.5,"Ascomycota",2.9,8.5,37.4294584736444,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
